PZ7180000000004_TY	YKL081W	31.065	338	197	8	13	993	1	313	4.46e-33	124
PZ1082_AB	YHR104W	44.915	118	62	3	4	348	196	313	2.90e-27	100
PZ11_FX	YLR406C	53.012	83	38	1	290	42	25	106	1.42e-19	65.9
PZ7180000036154	YNL245C	36.275	102	60	3	105	395	1	102	3.46e-07	46.2
PZ605962	YKR079C	29.565	115	66	4	429	121	479	590	1.13e-11	59.3
PZ856513	YKL215C	48.387	155	73	3	3	452	109	261	2.90e-38	135
PZ3202_E	YBR247C	64.000	25	9	0	344	418	373	397	3.00e-09	40.4
PZ7180000024771	YFL037W	75.728	103	25	0	849	541	323	425	4.20e-53	177
PZ7180000021475	YFR050C	36.400	250	140	6	123	839	17	258	6.22e-46	154
PZ7180000032158	YPL198W	68.831	77	24	0	232	2	61	137	7.38e-31	109
PZ7180000024778	YKL088W	48.624	109	54	2	539	219	389	497	8.53e-32	106
PZ7180000033595	YDR018C	25.275	273	163	9	847	125	113	376	1.21e-16	79.3
PZ7180000036896	YKL095W	28.947	114	76	3	219	545	41	154	5.77e-11	52.8
PZ789897_ATR	YBR019C	33.088	136	77	7	379	5	14	146	5.47e-10	54.3
PZ488295	YIL106W	35.000	140	87	3	410	3	93	232	5.54e-23	90.1
PZ7180000023623	YMR234W	36.420	162	83	7	1055	624	188	347	3.96e-14	70.9
PZ545_OM	YPL131W	43.750	64	31	1	201	392	194	252	7.63e-09	51.6
PZ7180000000106_L	YNL202W	28.346	254	171	4	55	804	21	267	1.88e-21	90.1
PZ7180000031008	YKL060C	55.814	129	56	1	395	9	176	303	9.31e-51	162
PZ7180000028269_AFW	YHR013C	62.222	45	17	0	247	113	148	192	7.06e-15	64.7
PZ7180000000124_L	YNL202W	26.840	231	139	8	682	38	51	267	1.40e-11	61.6
PZ7180000000157_L	YKR009C	26.538	260	153	8	746	6	10	244	2.27e-18	82.8
PZ7180000000646_B	YHR007C	31.008	129	86	2	398	21	281	409	8.52e-14	66.2
PZ7180000000117_K	YOR113W	39.252	107	63	1	481	167	591	697	1.50e-24	97.1
PZ7180000037033_ADR	YBR198C	26.066	211	109	7	219	842	523	689	7.70e-11	61.2
PZ7180000028920	YNL243W	24.138	116	83	1	37	384	102	212	4.59e-10	44.7
